"Landscape","Transect","Scientific.Name","Taxon.Rank","Observation.Type","Indv"
"SimForest","T01","Pycnonotus aurigaster","Species","PointLoc",9
"SimForest","T01","Halcyon smyrnensis","Species","PointLoc",6
"SimForest","T01","Kittacincla malabarica","Species","PointLoc",11
"SimForest","T01","Aegithina tiphia","Species","PointLoc",9
"SimForest","T01","Alcippe brunneicauda","Species","PointLoc",7
"SimForest","T01","Alophoixus tephrogenys","Species","PointLoc",5
"SimForest","T01","Anthracoceros malayanus","Species","PointLoc",8
"SimForest","T01","Anthreptes simplex","Species","PointLoc",3
"SimForest","T01","Actenoides concretus","Species","PointLoc",3
"SimForest","T01","Copsychus saularis","Species","PointLoc",7
"SimForest","T01","Pycnonotus goiavier","Species","PointLoc",2
"SimForest","T01","Pycnonotus plumosus","Species","PointLoc",2
"SimForest","T01","Dicaeum trigonostigma","Species","PointLoc",2
"SimForest","T01","Cinnyris jugularis","Species","PointLoc",9
"SimForest","T01","Orthotomus ruficeps","Species","PointLoc",4
"SimForest","T01","Prinia flaviventris","Species","PointLoc",5
"SimForest","T01","Ficedula mugimaki","Species","PointLoc",7
"SimForest","T01","Terpsiphone paradisi","Species","PointLoc",3
"SimForest","T01","Hemipus hirundinaceus","Species","PointLoc",8
"SimForest","T01","Rhipidura javanica","Species","PointLoc",5
"SimForest","T01","Lanius schach","Species","PointLoc",10
"SimForest","T01","Oriolus xanthonotus","Species","PointLoc",2
"SimForest","T01","Dicrurus paradiseus","Species","PointLoc",8
"SimForest","T01","Chloropsis sonnerati","Species","PointLoc",10
"SimForest","T01","Irena puella","Species","PointLoc",3
"SimForest","T01","Harpactes duvaucelii","Species","PointLoc",2
"SimForest","T01","Buceros rhinoceros","Species","PointLoc",3
"SimForest","T01","Anorrhinus galeritus","Species","PointLoc",11
"SimForest","T01","Arachnothera longirostra","Species","PointLoc",12
"SimForest","T02","Pycnonotus aurigaster","Species","PointLoc",3
"SimForest","T02","Halcyon smyrnensis","Species","PointLoc",7
"SimForest","T02","Kittacincla malabarica","Species","PointLoc",12
"SimForest","T02","Aegithina tiphia","Species","PointLoc",5
"SimForest","T02","Alcippe brunneicauda","Species","PointLoc",5
"SimForest","T02","Alophoixus tephrogenys","Species","PointLoc",3
"SimForest","T02","Anthracoceros malayanus","Species","PointLoc",6
"SimForest","T02","Anthreptes simplex","Species","PointLoc",2
"SimForest","T02","Actenoides concretus","Species","PointLoc",6
"SimForest","T02","Copsychus saularis","Species","PointLoc",9
"SimForest","T02","Pycnonotus goiavier","Species","PointLoc",1
"SimForest","T02","Pycnonotus plumosus","Species","PointLoc",4
"SimForest","T02","Dicaeum trigonostigma","Species","PointLoc",2
"SimForest","T02","Cinnyris jugularis","Species","PointLoc",12
"SimForest","T02","Orthotomus ruficeps","Species","PointLoc",4
"SimForest","T02","Prinia flaviventris","Species","PointLoc",5
"SimForest","T02","Ficedula mugimaki","Species","PointLoc",3
"SimForest","T02","Terpsiphone paradisi","Species","PointLoc",6
"SimForest","T02","Hemipus hirundinaceus","Species","PointLoc",11
"SimForest","T02","Rhipidura javanica","Species","PointLoc",4
