"Landscape","Transect","Scientific.Name","Taxon.Rank"
"SimForest","T01","Macaca fascicularis","Species"
"SimForest","T01","Macaca fascicularis","Species"
"SimForest","T01","Presbytis melalophos","Species"
"SimForest","T01","Presbytis melalophos","Species"
"SimForest","T01","Presbytis melalophos","Species"
"SimForest","T01","Presbytis melalophos","Species"
"SimForest","T01","Presbytis melalophos","Species"
"SimForest","T01","Presbytis melalophos","Species"
"SimForest","T01","Hylobates lar","Species"
"SimForest","T01","Hylobates lar","Species"
"SimForest","T01","Hylobates lar","Species"
"SimForest","T01","Hylobates lar","Species"
"SimForest","T01","Hylobates lar","Species"
"SimForest","T01","Hylobates lar","Species"
"SimForest","T01","Hylobates lar","Species"
"SimForest","T01","Sus scrofa","Species"
"SimForest","T01","Sus scrofa","Species"
"SimForest","T01","Muntiacus muntjak","Species"
"SimForest","T01","Muntiacus muntjak","Species"
"SimForest","T01","Muntiacus muntjak","Species"
"SimForest","T01","Muntiacus muntjak","Species"
"SimForest","T01","Muntiacus muntjak","Species"
"SimForest","T01","Muntiacus muntjak","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Tragulus javanicus","Species"
"SimForest","T01","Paradoxurus hermaphroditus","Species"
"SimForest","T01","Paradoxurus hermaphroditus","Species"
"SimForest","T01","Paradoxurus hermaphroditus","Species"
"SimForest","T01","Paradoxurus hermaphroditus","Species"
"SimForest","T01","Paradoxurus hermaphroditus","Species"
"SimForest","T01","Viverra tangalunga","Species"
"SimForest","T01","Ratufa bicolor","Species"
"SimForest","T01","Ratufa bicolor","Species"
"SimForest","T01","Ratufa bicolor","Species"
"SimForest","T01","Ratufa bicolor","Species"
"SimForest","T01","Ratufa bicolor","Species"
"SimForest","T01","Callosciurus notatus","Species"
"SimForest","T01","Manis javanica","Species"
"SimForest","T01","Manis javanica","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Hystrix brachyura","Species"
"SimForest","T01","Tupaia glis","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T01","Nycticebus coucang","Species"
"SimForest","T02","Macaca fascicularis","Species"
"SimForest","T02","Presbytis melalophos","Species"
"SimForest","T02","Presbytis melalophos","Species"
