Plot.ID,Stratum
T09_P5,Primary Forest
T09_P3,Primary Forest
T04_P1,Primary Forest
T09_P4,Primary Forest
T18_P1,Primary Forest
T18_P4,Primary Forest
T15_P1,Primary Forest
T04_P4,Primary Forest
T05_P1,Primary Forest
T12_P1,Primary Forest
T01_P3,Primary Forest
T12_P4,Primary Forest
T15_P3,Primary Forest
T04_P3,Primary Forest
T18_P5,Primary Forest
T15_P5,Primary Forest
T01_P1,Primary Forest
T15_P2,Primary Forest
T11_P1,Primary Forest
T18_P2,Primary Forest
T15_P4,Primary Forest
T14_P1,Primary Forest
T12_P5,Primary Forest
T14_P2,Primary Forest
T01_P2,Primary Forest
T11_P5,Primary Forest
T02_P1,Primary Forest
T05_P5,Primary Forest
T13_P3,Primary Forest
T05_P2,Primary Forest
T01_P5,Primary Forest
T12_P2,Primary Forest
T14_P5,Primary Forest
T12_P3,Primary Forest
T05_P3,Primary Forest
T14_P3,Primary Forest
T13_P4,Primary Forest
T04_P5,Primary Forest
T18_P3,Primary Forest
T09_P1,Secondary Forest
T11_P4,Secondary Forest
T09_P2,Secondary Forest
T13_P5,Secondary Forest
T04_P2,Secondary Forest
T11_P2,Secondary Forest
T01_P4,Secondary Forest
T05_P4,Secondary Forest
T11_P3,Secondary Forest
T13_P2,Secondary Forest
T14_P4,Secondary Forest
T03_P4,Secondary Forest
T13_P1,Secondary Forest
T02_P4,Secondary Forest
T07_P4,Secondary Forest
T17_P1,Secondary Forest
T20_P3,Secondary Forest
T19_P5,Secondary Forest
T02_P3,Secondary Forest
T10_P3,Secondary Forest
T17_P3,Secondary Forest
T02_P2,Secondary Forest
T03_P3,Agroforest
T03_P5,Agroforest
T19_P3,Agroforest
T02_P5,Agroforest
T20_P1,Agroforest
T17_P5,Agroforest
T10_P1,Agroforest
T07_P5,Agroforest
T03_P2,Agroforest
T10_P2,Agroforest
T07_P2,Agroforest
T16_P3,Agroforest
T19_P4,Agroforest
T20_P5,Agroforest
T19_P1,Agroforest
T17_P2,Agroforest
T10_P4,Agroforest
T07_P1,Agroforest
T20_P2,Agroforest
T10_P5,Agroforest
T20_P4,Agroforest
T08_P3,Agroforest
T19_P2,Agroforest
T03_P1,Shrubs
T16_P5,Shrubs
T08_P5,Shrubs
T08_P1,Shrubs
T08_P4,Shrubs
T16_P2,Shrubs
T07_P3,Shrubs
T17_P4,Shrubs
T06_P1,Shrubs
T16_P4,Shrubs
T08_P2,Shrubs
T06_P2,Shrubs
T06_P4,Shrubs
T06_P5,Shrubs
T06_P3,Shrubs
T16_P1,Shrubs
