"Landscape","Transect","Plot.ID","Tree.ID","Scientific.Name","Taxon.Rank","Class","DBH","TT"
"SimForest","T01","T01_P3","T01_P3_1","Shorea leprosula","Species","C",14.6,12.4
"SimForest","T01","T01_P3","T01_P3_2","Shorea leprosula","Species","B",18.3,17.7
"SimForest","T01","T01_P2","T01_P2_3","Shorea leprosula","Species","C",7.2,8.8
"SimForest","T01","T01_P5","T01_P5_1","Shorea parvifolia","Species","B",22.2,19.7
"SimForest","T01","T01_P5","T01_P5_2","Shorea parvifolia","Species","B",29.5,23.1
"SimForest","T01","T01_P2","T01_P2_1","Shorea acuminata","Species","C",14.2,13.9
"SimForest","T01","T01_P5","T01_P5_2","Shorea acuminata","Species","C",13.8,12.3
"SimForest","T01","T01_P1","T01_P1_3","Shorea acuminata","Species","B",24.2,21.3
"SimForest","T01","T01_P2","T01_P2_4","Shorea acuminata","Species","C",10.4,10.6
"SimForest","T01","T01_P5","T01_P5_5","Shorea acuminata","Species","A",63,44
"SimForest","T01","T01_P3","T01_P3_1","Dipterocarpus alatus","Species","B",24.5,19.5
"SimForest","T01","T01_P4","T01_P4_2","Dipterocarpus alatus","Species","B",30,24.2
"SimForest","T01","T01_P1","T01_P1_3","Dipterocarpus alatus","Species","A",46,29.8
"SimForest","T01","T01_P4","T01_P4_4","Dipterocarpus alatus","Species","B",23.1,19.8
"SimForest","T01","T01_P3","T01_P3_1","Dipterocarpus caudatus","Species","C",8.3,10.2
"SimForest","T01","T01_P1","T01_P1_2","Dipterocarpus caudatus","Species","C",7.4,9.4
"SimForest","T01","T01_P3","T01_P3_3","Dipterocarpus caudatus","Species","C",15.7,14.8
"SimForest","T01","T01_P4","T01_P4_1","Hopea nervosa","Species","C",15.6,15.7
"SimForest","T01","T01_P3","T01_P3_2","Hopea nervosa","Species","B",24.2,17.9
"SimForest","T01","T01_P1","T01_P1_3","Hopea nervosa","Species","C",15.3,15.1
"SimForest","T01","T01_P5","T01_P5_4","Hopea nervosa","Species","C",15.6,15.6
"SimForest","T01","T01_P1","T01_P1_5","Hopea nervosa","Species","A",34,22.6
"SimForest","T01","T01_P4","T01_P4_6","Hopea nervosa","Species","C",12.5,13.4
"SimForest","T01","T01_P1","T01_P1_1","Dryobalanops aromatica","Species","C",10.6,12.1
"SimForest","T01","T01_P4","T01_P4_2","Dryobalanops aromatica","Species","C",10.6,11.7
"SimForest","T01","T01_P3","T01_P3_3","Dryobalanops aromatica","Species","C",10.8,11
"SimForest","T01","T01_P2","T01_P2_4","Dryobalanops aromatica","Species","B",29.6,22.4
